video_id,personalized?,category,category_id,title,url
6Y3YPDXlPAo,No,Entertainment,24,Avoid Saying The Same Thing As Me 🤔 MEGA CHALLENGE 📢,https://www.youtube.com/watch?v=6Y3YPDXlPAo
H94ntp93SGY,Yes,Music,10,"Forest Cafe Jazz Music | Morning Tranquill Jazz with Nature Therapy for Stress Relief, Study & Work",https://www.youtube.com/watch?v=H94ntp93SGY
qBUSheLQ5e0,Yes,Music,10,"Italian Cafe Ambience with Relaxing Jazz Piano for Study, Work ☕ Unwind with Elegant Bossa Nova",https://www.youtube.com/watch?v=qBUSheLQ5e0
i6AHys3pwyc,Yes,Entertainment,24,ALEX CONSANI | CHICKEN SHOP DATE,https://www.youtube.com/watch?v=i6AHys3pwyc
zWwrzfsUJVg,Yes,Music,10,don't overthink it ~ just do it,https://www.youtube.com/watch?v=zWwrzfsUJVg
iOPopIfxWOg,Yes,Music,10,Destroy Lonely - how u feel? (Instrumental) OFFICIAL,https://www.youtube.com/watch?v=iOPopIfxWOg
Fp5ghKduTK8,No,People & Blogs,22,"【Relaxing Ghibli】 ジブリ メドレー🔱ピアノ ジブリコレクション🔱 ジブリのベストピアノ曲 🔱 魔女の宅急便, となりのトトロ, 千と千尋の神隠し, 崖の上のポニョ",https://www.youtube.com/watch?v=Fp5ghKduTK8
ARCb-UcNm1s,Yes,Music,10,Tropical Bossa Jazz ~ Beautiful Brazilian Jazz Music For a Positive Vibe ~ January Jazz Music,https://www.youtube.com/watch?v=ARCb-UcNm1s
5OgJvLCwCQ4,No,Entertainment,24,All The Performances | Sing (2016) and Sing 2 (2021) | Family Flicks,https://www.youtube.com/watch?v=5OgJvLCwCQ4
CsGYh8AacgY,No,Film & Animation,1,Charlie the Unicorn,https://www.youtube.com/watch?v=CsGYh8AacgY
aKrSBz3ez5A,No,Education,27,Guess the Fast Food Restaurant by Emoji? 🍔 Monkey Quiz,https://www.youtube.com/watch?v=aKrSBz3ez5A
RG2IK8oRZNA,Yes,Music,10,"ADHD Relief Music: Studying Music for Better Concentration and Focus, Study Music",https://www.youtube.com/watch?v=RG2IK8oRZNA
dQw4w9WgXcQ,No,Music,10,Rick Astley - Never Gonna Give You Up (Official Music Video),https://www.youtube.com/watch?v=dQw4w9WgXcQ
7jjcAuEYW9M,Yes,Comedy,23,The Duck Song 2,https://www.youtube.com/watch?v=7jjcAuEYW9M
iFvIbaeyy8k,No,Entertainment,24,"If You Clean It, You Keep It!",https://www.youtube.com/watch?v=iFvIbaeyy8k
oC2o2-Nteyw,No,People & Blogs,22,i Survived the World's STRICTEST Babysitter,https://www.youtube.com/watch?v=oC2o2-Nteyw
IDeCrl4dSw0,Yes,People & Blogs,22,Brady Farrar - The Apology,https://www.youtube.com/watch?v=IDeCrl4dSw0
BI6HIXXGTpU,Yes,Comedy,23,"Weekend Update ft. Bowen Yang, Emil Wakim and Sarah Sherman - SNL",https://www.youtube.com/watch?v=BI6HIXXGTpU
tEPrnoV4i9k,No,Gaming,20,Minecraft's FUNNIEST Anime!,https://www.youtube.com/watch?v=tEPrnoV4i9k
39ColarOWKo,Yes,Entertainment,24,Funniest Animal Videos Ever (Part 1),https://www.youtube.com/watch?v=39ColarOWKo
Y4anm6w0uiA,No,Entertainment,24,"Happy Jazz & Bossa Nova Music - Happy Cafe Music For Work, Study",https://www.youtube.com/watch?v=Y4anm6w0uiA
uD5J0kVWLu0,Yes,Gaming,20,Sinister Squidward,https://www.youtube.com/watch?v=uD5J0kVWLu0
7jjcAuEYW9M,Yes,Comedy,23,The Duck Song 2,https://www.youtube.com/watch?v=7jjcAuEYW9M
IRCZ1Mt2a8M,Yes,People & Blogs,22,Jordan Peterson: STOP LYING TO YOURSELF! How To Turn Your Life Around In 2024!,https://www.youtube.com/watch?v=IRCZ1Mt2a8M
7jjcAuEYW9M,No,Comedy,23,The Duck Song 2,https://www.youtube.com/watch?v=7jjcAuEYW9M
aKrSBz3ez5A,No,Education,27,Guess the Fast Food Restaurant by Emoji? 🍔 Monkey Quiz,https://www.youtube.com/watch?v=aKrSBz3ez5A
-VzL_v9vp4A,No,Entertainment,24,The Duck Song 1 HOUR,https://www.youtube.com/watch?v=-VzL_v9vp4A
AlGtKuQNPqc,Yes,Education,27,Doctor Reacts To The Pitt Ep. 4,https://www.youtube.com/watch?v=AlGtKuQNPqc
lE9dYGzs3RQ,No,Entertainment,24,Ages 1-25 Compete In EXTREME GYMNASTICS,https://www.youtube.com/watch?v=lE9dYGzs3RQ
9OPyZMVBO9o,Yes,Sports,17,Man. United vs. Lyon: Extended Highlights | UEL Quarter-final Leg 2 | CBS Sports Golazo - Europe,https://www.youtube.com/watch?v=9OPyZMVBO9o
o8LTi_zkGuY,Yes,Music,10,Zach Bryan - Hey Driver (feat. The War and Treaty),https://www.youtube.com/watch?v=o8LTi_zkGuY
7jjcAuEYW9M,Yes,Comedy,23,The Duck Song 2,https://www.youtube.com/watch?v=7jjcAuEYW9M
mzABW42AIhM,No,Entertainment,24,"Hakuna Matata (No Worries) - Simba,Timon, Pumbaa [Hakuna Matata SCENE ] /// The Lion King (1994)",https://www.youtube.com/watch?v=mzABW42AIhM
mzABW42AIhM,Yes,Entertainment,24,"Hakuna Matata (No Worries) - Simba,Timon, Pumbaa [Hakuna Matata SCENE ] /// The Lion King (1994)",https://www.youtube.com/watch?v=mzABW42AIhM
