video_id,title,category_id,category,url
-GSnmRZlgc4,Pete the Cat I Love My White Shoes | Animated Book | Read aloud,1,Film & Animation,https://www.youtube.com/watch?v=-GSnmRZlgc4
N2HQaQJsyQ4,Disney Lofi Songs [chill playlist] 🎀 2h chill hiphop beats to study/work to,10,Music,https://www.youtube.com/watch?v=N2HQaQJsyQ4
i9sR_T76H34,"FALL INTO SLEEP INSTANTLY ★︎ Healing of Stress, Anxiety and Depressive States ★︎ INSOMNIA RELIEF",10,Music,https://www.youtube.com/watch?v=i9sR_T76H34
C1UgGbiUTTo,"Harvard Rejects Trump Order, SCOTUS Gets Left on Read & Md. Sen. Takes Rescue Vacay | The Daily Show",23,Comedy,https://www.youtube.com/watch?v=C1UgGbiUTTo
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),10,Music,https://www.youtube.com/watch?v=dQw4w9WgXcQ
CsGYh8AacgY,Charlie the Unicorn,1,Film & Animation,https://www.youtube.com/watch?v=CsGYh8AacgY
iUohO2MSot8,Mozart - Classical Music for Brain Power,10,Music,https://www.youtube.com/watch?v=iUohO2MSot8
-VzL_v9vp4A,The Duck Song 1 HOUR,24,Entertainment,https://www.youtube.com/watch?v=-VzL_v9vp4A
o8GrqUSdzi0,"Relaxing Music & Rain Sounds - Beautiful Piano Music, Background Music, Sleep Music • You & Me",10,Music,https://www.youtube.com/watch?v=o8GrqUSdzi0
mzABW42AIhM,"Hakuna Matata (No Worries) - Simba,Timon, Pumbaa [Hakuna Matata SCENE ] /// The Lion King (1994)",24,Entertainment,https://www.youtube.com/watch?v=mzABW42AIhM
7jjcAuEYW9M,The Duck Song 2,23,Comedy,https://www.youtube.com/watch?v=7jjcAuEYW9M
X-yJhGcS7U4,Instrumental Pop Music for the Classroom | 2 Hours of Clean Pop Covers for Studying,10,Music,https://www.youtube.com/watch?v=X-yJhGcS7U4
V1bFr2SWP1I,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",10,Music,https://www.youtube.com/watch?v=V1bFr2SWP1I
-VzL_v9vp4A,The Duck Song 1 HOUR,24,Entertainment,https://www.youtube.com/watch?v=-VzL_v9vp4A
aKrSBz3ez5A,Guess the Fast Food Restaurant by Emoji? 🍔 Monkey Quiz,27,Education,https://www.youtube.com/watch?v=aKrSBz3ez5A
CsGYh8AacgY,Charlie the Unicorn,1,Film & Animation,https://www.youtube.com/watch?v=CsGYh8AacgY
N2HQaQJsyQ4,Disney Lofi Songs [chill playlist] 🎀 2h chill hiphop beats to study/work to,10,Music,https://www.youtube.com/watch?v=N2HQaQJsyQ4
-GSnmRZlgc4,Pete the Cat I Love My White Shoes | Animated Book | Read aloud,1,Film & Animation,https://www.youtube.com/watch?v=-GSnmRZlgc4
vDuBWmYBCwE,Wicked (2024) 4K - Popular | Movieclips,1,Film & Animation,https://www.youtube.com/watch?v=vDuBWmYBCwE
8HhzRd9taEU,ULTIMATE Brain Rot Quiz 2,22,People & Blogs,https://www.youtube.com/watch?v=8HhzRd9taEU
7jjcAuEYW9M,The Duck Song 2,23,Comedy,https://www.youtube.com/watch?v=7jjcAuEYW9M
V1bFr2SWP1I,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",10,Music,https://www.youtube.com/watch?v=V1bFr2SWP1I
X-yJhGcS7U4,Instrumental Pop Music for the Classroom | 2 Hours of Clean Pop Covers for Studying,10,Music,https://www.youtube.com/watch?v=X-yJhGcS7U4
W_Q_2H1NUmc,George Clooney speaks out on Biden op-ed fallout,25,News & Politics,https://www.youtube.com/watch?v=W_Q_2H1NUmc
